記事URL,会社名,担当者名,メールアドレス,電話番号
https://prtimes.jp/main/html/rd/p/000000520.000024045.html,VALX株式会社,,,03-6455-0045
https://prtimes.jp/main/html/rd/p/000001554.000006302.html,H1GLOBAL株式会社,,info@malulani.tv,03-6433-5723
https://prtimes.jp/main/html/rd/p/000000143.000030601.html,株式会社WSP,,,03-3549-1090
https://prtimes.jp/main/html/rd/p/000000039.000100778.html,株式会社ハニーマザー,,,078-851-8022
https://prtimes.jp/main/html/rd/p/000001550.000006302.html,H1GLOBAL株式会社,,info@malulani.tv,03-6433-5723
https://prtimes.jp/main/html/rd/p/000005909.000052467.html,東京都,児玉　俊太郎,,03-5321-1111
https://prtimes.jp/main/html/rd/p/000000067.000037237.html,コーレ株式会社,,,03-6899-2995
https://prtimes.jp/main/html/rd/p/000001541.000006302.html,H1GLOBAL株式会社,,info@malulani.tv,03-6433-5723
https://prtimes.jp/main/html/rd/p/000000156.000061950.html,鎌倉インターナショナル株式会社,,kifc.yamaguchi@gmail.com,080-4405-4506
https://prtimes.jp/main/html/rd/p/000000002.000156041.html,株式会社ピダン,,,
https://prtimes.jp/main/html/rd/p/000000007.000151931.html,株式会社Learner’s Learner,,,
https://prtimes.jp/main/html/rd/p/000001547.000006302.html,H1GLOBAL株式会社,,info@malulani.tv,03-6433-5723
https://prtimes.jp/main/html/rd/p/000000089.000037884.html,株式会社 阿部養庵堂薬品,,info@abeyoando.co.jp,
https://prtimes.jp/main/html/rd/p/000000026.000049551.html,株式会社結わえる,,press@yuwaeru.co.jp,
https://prtimes.jp/main/html/rd/p/000000011.000088788.html,株式会社 V and P,,info@vetzpetz.co.jp,03-6706-4436
https://prtimes.jp/main/html/rd/p/000000012.000059328.html,株式会社Airz,,webinar.info@airz.co.jp,
https://prtimes.jp/main/html/rd/p/000000003.000161227.html,株式会社RNA,,,03-3731-7157
https://prtimes.jp/main/html/rd/p/000000032.000104976.html,株式会社LADDER,,,080-7186-6141
https://prtimes.jp/main/html/rd/p/000000002.000160225.html,株式会社haju,山下,,
https://prtimes.jp/main/html/rd/p/000000341.000017263.html,株式会社晋遊舎,,marketing_info@shinyusha.co.jp,03-3518-6625
https://prtimes.jp/main/html/rd/p/000000124.000064894.html,株式会社FoR,,,
https://prtimes.jp/main/html/rd/p/000000257.000117216.html,株式会社シーエムシー出版,,,03-3293-7051
https://prtimes.jp/main/html/rd/p/000000176.000077777.html,株式会社シンビジャパン,,houjin@shinbee-japan.com,
https://prtimes.jp/main/html/rd/p/000000303.000058547.html,アライドアーキテクツ株式会社,西井 敏恭,,03-6408-2791
https://prtimes.jp/main/html/rd/p/000000141.000030601.html,株式会社WSP,,,03-3549-1090
https://prtimes.jp/main/html/rd/p/000000034.000138078.html,佐藤薬品工業株式会社,,,0744-28-0021
https://prtimes.jp/main/html/rd/p/000000005.000150848.html,株式会社しばはすの家,,,0562-85-2215
https://prtimes.jp/main/html/rd/p/000000007.000151566.html,株式会社アークワイズ,,,
https://prtimes.jp/main/html/rd/p/000000592.000001551.html,株式会社インテージホールディングス,,ihc-ch-magazine@intage.com,03-5294-8393
https://prtimes.jp/main/html/rd/p/000000549.000003563.html,ジュピターショップチャンネル株式会社,,,
https://prtimes.jp/main/html/rd/p/000000364.000085143.html,アステナホールディングス株式会社,,,0120-040-562
https://prtimes.jp/main/html/rd/p/000001537.000006302.html,H1GLOBAL株式会社,,info@malulani.tv,03-6433-5723
https://prtimes.jp/main/html/rd/p/000000067.000134543.html,株式会社グラフィック,,,075-601-1231
https://prtimes.jp/main/html/rd/p/000000170.000037149.html,アジャイルメディア・ネットワーク株式会社,,info@agilemedia.jp,03-6435-7130
https://prtimes.jp/main/html/rd/p/000000011.000123469.html,株式会社フランスダイレクト,,,080-9496-8255
https://prtimes.jp/main/html/rd/p/000001515.000006302.html,H1GLOBAL株式会社,,info@malulani.tv,03-6433-5723
https://prtimes.jp/main/html/rd/p/000001514.000006302.html,H1GLOBAL株式会社,,info@malulani.tv,03-6433-5723
https://prtimes.jp/main/html/rd/p/000000055.000038100.html,株式会社ウエルネス・ラボ,,r-yamatoji@wellnesslab.co.jp,045-222-3838
https://prtimes.jp/main/html/rd/p/000000056.000038100.html,株式会社ウエルネス・ラボ,,r-yamatoji@wellnesslab.co.jp,045-222-3838
https://prtimes.jp/main/html/rd/p/000000096.000010318.html,株式会社ビタブリッドジャパン,,,0120-987-861
