記事URL,会社名,担当者名,メールアドレス,電話番号,信頼度,抽出元
https://prtimes.jp/main/html/rd/p/000000039.000100778.html,株式会社ハニーマザー,の効果測定は,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000001550.000006302.html,H1GLOBAL株式会社,の効果測定は,info@malulani.tv,03-6433-5723,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000005909.000052467.html,東京都,者の連絡先や,,,0.82,"company:0.85, person:0.70"
https://prtimes.jp/main/html/rd/p/000000067.000037237.html,コーレ株式会社,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000001541.000006302.html,H1GLOBAL株式会社,の効果測定は,info@malulani.tv,03-6433-5723,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000156.000061950.html,鎌倉インターナショナル株式会社,の効果測定は,kifc.yamaguchi@gmail.com,080-4405-4506,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000002.000156041.html,株式会社ピダン,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000007.000151931.html,株式会社Learner’s Learner,執行役員及び取締,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000001547.000006302.html,H1GLOBAL株式会社,の効果測定は,info@malulani.tv,03-6433-5723,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000089.000037884.html,株式会社 阿部養庵堂薬品,者の連絡先や,info@abeyoando.co.jp,,0.85,"company:0.95, email:0.90, person:0.70"
https://prtimes.jp/main/html/rd/p/000000026.000049551.html,株式会社結わえる,の効果測定は,press@yuwaeru.co.jp,,0.85,"company:0.95, email:0.90, person:0.70"
https://prtimes.jp/main/html/rd/p/000000011.000088788.html,株式会社 V and P,いただくか,info@vetzpetz.co.jp,,0.85,"company:0.95, email:0.90, person:0.70"
https://prtimes.jp/main/html/rd/p/000000012.000059328.html,株式会社Airz,に取り組む方,webinar.info@airz.co.jp,,0.85,"company:0.95, email:0.90, person:0.70"
https://prtimes.jp/main/html/rd/p/000000003.000161227.html,株式会社RNA,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000032.000104976.html,株式会社LADDER,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000002.000160225.html,株式会社haju,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000341.000017263.html,株式会社晋遊舎,の効果測定は,marketing_info@shinyusha.co.jp,03-3518-6625,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000124.000064894.html,株式会社FoR,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000257.000117216.html,株式会社シーエムシー出版,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000176.000077777.html,株式会社シンビジャパン,の効果測定は,houjin@shinbee-japan.com,,0.85,"company:0.95, email:0.90, person:0.70"
https://prtimes.jp/main/html/rd/p/000000303.000058547.html,アライドアーキテクツ株式会社,者様をゲストにお,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000141.000030601.html,株式会社WSP,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000034.000138078.html,佐藤薬品工業株式会社,に関すること,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000005.000150848.html,株式会社しばはすの家,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000007.000151566.html,株式会社アークワイズ,担当者までお問い,,,0.82,"company:0.95, person:0.70"
